ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish,Category,Gloss_in_source
Chacon-2017-129-31,diente,1380,TOOTH,tooth,basic/cultural,DIENTE_TOOTH
Chacon-2017-129-32,dos,1498,TWO,two,basic/cultural,DOS_TWO
Chacon-2017-129-33,estera,195,MAT,mat,cultural,ESTERA_MAT
Chacon-2017-129-34,estrella,1430,STAR,star,basic/cultural,ESTRELLA_STAR
Chacon-2017-129-35,flecha,977,ARROW,arrow,cultural,FLECHA_ARROW
Chacon-2017-129-36,gallinazo,1865,BUZZARD,buzzard,cultural,GALLINAZO_BUZZARD
Chacon-2017-129-37,gato,1208,CAT,cat,cultural,GATO_CAT
Chacon-2017-129-38,gente,789,PEOPLE,people,basic/cultural,GENTE_PEOPLE
Chacon-2017-129-39,guacamayo,1630,MACAW,macaw,cultural,GUACAMAYO_MACAW
Chacon-2017-129-40,hacha,677,AXE,axe,cultural,HACHA_AXE
Chacon-2017-129-41,hamaca,2019,HAMMOCK,hammock,cultural,HAMACA_HAMMOCK
Chacon-2017-129-42,harina de yuca,324,MANIOC FLOUR,manioc flour,cultural,HARINA DE YUCA_MANIOC FLOUR
Chacon-2017-129-43,hoja,2250,LEAF (LEAFLIKE OBJECT),leaf,basic/cultural,HOJA_LEAF
Chacon-2017-129-44,hoja de árbol,628,LEAF,tree leaf,basic/cultural,HOJA DE ÁRBOL_TREE LEAF
Chacon-2017-129-45,hormiga,587,ANT,ant,cultural,HORMIGA_ANT
Chacon-2017-129-46,hueso,1394,BONE,bone,basic/cultural,HUESO_BONE
Chacon-2017-129-47,hígado,1224,LIVER,liver,basic/cultural,HÍGADO_LIVER
Chacon-2017-129-48,isla,622,ISLAND,island,cultural,ISLA_ISLAND
Chacon-2017-129-49,jabalí mayor,436,WHITE-LIPPED PECCARY,white-lipped peccary,cultural,JABALÍ MAYOR_WHITE-LIPPED PECCARY
Chacon-2017-129-50,lago,624,LAKE,lake,cultural,LAGO_LAKE
Chacon-2017-129-51,lanza,945,SPEAR,spear,cultural,LANZA_SPEAR
Chacon-2017-129-52,"lechuza, buho",735,OWL,owl,cultural,"LECHUZA, BUHO_OWL"
Chacon-2017-129-53,lengua,1205,TONGUE,tongue,basic/cultural,LENGUA_TONGUE
Chacon-2017-129-54,"león, puma",1891,PUMA,puma,cultural,"LEÓN, PUMA_PUMA"
Chacon-2017-129-55,lleno,1429,FULL,full,basic/cultural,LLENO_FULL
